TargetID	MF1.AVG_Signal	MF1-2.AVG_Signal	MF3.AVG_Signal	MF3-2.AVG_Signal	MF6.AVG_Signal	MF6-2.AVG_Signal	A1.AVG_Signal	B1.AVG_Signal	C1.AVG_Signal	D1.AVG_Signal	E1.AVG_Signal
ACAT2	57.1	56.4	64.3	64.7	65.6	93.1	44.2	55.3	37.1	74.0	89.6
ACBD3	104.2	88.5	100.7	108.5	110.1	114.4	132.0	95.7	130.4	99.4	85.7
ACBD4	3.9	7.8	1.8	8.4	6.5	0.0	6.8	8.1	5.5	10.8	18.1
ACBD5	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.2	2.2	1.7	2.8
ACBD6	34.0	41.5	35.5	47.0	54.4	36.5	42.8	24.8	25.2	17.3	35.7
ACBD7	0.6	3.0	0.0	0.0	3.0	0.0	2.6	0.7	0.0	0.0	0.0
ACCN1	0.0	0.0	0.4	2.5	1.5	1.6	0.0	0.4	0.0	0.0	4.3
ACCN2	0.0	0.0	1.4	0.0	0.3	0.0	1.0	0.0	0.0	2.1	0.0
ACCN3	0.9	1.9	6.1	0.8	4.3	0.0	1.4	0.0	0.0	2.6	1.5
ACCN4	3.4	0.0	1.1	0.0	0.0	0.0	0.2	0.0	0.0	0.0	1.5
ACCN5	4.7	0.0	1.5	3.9	2.3	0.9	0.0	1.1	0.0	0.3	1.6
ACCS	209.3	205.7	122.7	133.1	128.5	84.5	217.6	71.3	95.4	96.7	75.1
ACCSL	2.2	1.5	2.4	1.7	0.0	2.7	0.0	0.0	1.4	0.0	1.9
ACD	56.8	70.4	72.0	71.8	78.4	46.6	76.5	47.5	98.3	67.4	62.2
ACE	0.4	0.0	1.6	0.0	0.6	0.0	0.0	0.0	0.0	0.0	2.1
ACE2	6.5	3.1	0.0	0.0	0.0	0.0	4.4	0.0	0.0	1.4	0.0
ACER1	0.0	0.0	1.8	0.0	0.0	0.0	0.0	0.1	0.0	0.7	1.4
ACER2	5.9	13.5	17.7	17.5	16.6	10.7	4.4	12.3	13.1	7.6	11.6
ACER3	22.8	7.8	2.8	2.0	18.2	8.8	31.1	37.8	16.2	22.9	18.0
ACHE	31.8	37.9	18.0	16.9	17.1	12.8	0.0	7.8	3.8	0.6	0.0
ACIN1	152.3	203.5	175.8	137.2	99.4	105.6	88.6	152.5	158.4	76.7	133.3
ACLY	195.7	206.8	205.4	209.3	193.2	192.9	233.0	214.8	265.5	148.2	199.6
ACMSD	0.0	0.0	0.1	0.0	1.3	0.0	1.2	6.9	1.5	0.0	0.0
ACN9	56.2	53.4	132.9	97.2	126.7	106.2	138.2	70.2	140.3	92.1	117.1
ACO1	65.0	58.4	43.1	66.0	91.3	94.7	99.5	73.8	88.6	76.9	80.7
ACO2	71.5	75.8	64.3	58.6	67.7	102.1	46.9	94.7	66.8	64.0	98.8
ACOT1	6.1	4.4	1.2	7.5	0.5	13.7	0.3	4.0	0.0	5.4	8.7
ACOT11	4.0	6.8	2.4	4.1	5.6	5.2	4.6	7.3	5.1	1.4	6.0
ACOT12	0.0	0.0	2.3	0.0	0.0	0.0	5.1	0.0	0.0	4.5	0.0
ACOT2	11.7	3.5	0.8	0.0	2.4	9.0	1.0	7.7	0.0	8.3	13.3
ACOT4	16.0	2.8	14.7	18.8	26.8	15.7	14.5	10.2	6.5	15.7	12.8
ACOT6	0.0	0.0	0.0	2.6	3.0	0.0	0.0	0.0	4.6	0.0	0.0
ACOT7	30.9	33.0	32.1	33.4	40.7	32.9	12.8	17.9	20.0	11.1	18.6
ACOT8	8.9	7.6	2.4	1.6	36.4	18.8	4.9	11.3	12.1	13.4	21.1
ACOT9	35.3	33.1	37.5	46.4	91.5	83.6	48.6	78.2	47.7	63.5	56.2
ACOX1	5.6	2.1	3.7	0.3	6.2	7.2	7.7	8.0	5.7	9.2	8.7
ACOX2	4.3	0.0	17.1	17.0	12.4	12.2	29.6	16.1	18.5	23.4	10.4
ACOX3	17.6	22.4	19.7	11.5	43.4	29.1	29.1	35.0	39.1	25.9	24.6
ACOXL	0.0	0.0	0.0	0.0	0.8	0.6	0.0	0.0	2.3	0.0	0.0
ACP1	433.4	410.2	645.3	529.2	174.3	477.9	238.3	523.5	283.3	510.7	587.9
ACP2	82.4	75.3	26.4	38.7	151.0	102.0	42.7	33.9	45.8	41.9	47.2
ACP5	36.7	35.0	86.2	88.9	46.2	33.2	8.2	4.6	6.3	12.4	9.4
ACP6	12.1	20.6	24.9	15.3	4.8	9.4	14.0	9.3	15.1	15.7	15.7
ACPL2	6.7	5.4	15.5	16.4	3.4	13.3	17.5	15.5	16.8	24.1	23.1
ACPP	17.4	7.5	35.1	40.7	73.8	59.6	147.3	73.6	88.3	83.1	42.2
ACPT	9.9	11.9	6.4	9.6	1.1	6.3	6.5	8.2	7.4	3.8	5.1
ACR	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.1
ACRBP	72.9	73.1	0.0	0.5	190.8	121.8	35.0	10.0	39.1	15.7	12.6
ACRC	50.1	40.1	22.9	29.6	11.6	8.1	9.0	5.6	4.7	11.9	14.4
ACRV1	0.0	2.9	2.8	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0
ACSBG1	28.5	30.9	12.3	9.7	23.0	21.4	22.7	3.5	20.1	9.7	12.0
ACSBG2	0.0	6.0	0.0	1.5	1.9	1.9	0.0	0.0	0.4	0.0	0.0
ACSF2	15.5	17.7	15.8	12.5	29.7	16.7	19.9	15.3	19.5	12.1	8.8
ACSF3	4.0	7.2	8.9	11.1	3.9	2.3	3.9	3.3	0.5	2.5	1.9
ACSL1	218.0	193.6	95.1	101.7	176.7	208.0	165.6	109.3	121.8	80.3	74.0
ACSL3	29.8	27.6	24.6	22.2	15.8	27.7	46.3	23.6	30.7	35.1	33.9
ACSL4	20.3	14.2	21.5	23.0	21.0	27.1	33.3	16.6	22.6	20.0	12.5
ACSL5	34.8	29.3	31.3	37.6	40.5	38.1	49.6	30.9	38.9	42.8	32.7
ACSL6	17.5	13.4	23.2	27.5	1.5	4.1	1.0	11.5	2.8	2.1	3.0
ACSM1	1.5	4.2	0.0	0.0	0.0	0.0	0.0	5.1	0.1	0.5	0.0
ACSM2A	0.0	2.7	0.0	1.3	0.6	0.0	3.8	0.0	0.0	0.0	1.2
ACSM2B	0.1	0.0	0.6	0.4	0.5	0.0	0.0	0.0	0.6	0.1	3.1
ACSM3	34.3	30.3	28.7	29.8	3.8	6.2	13.9	7.1	16.0	9.6	6.9
ACSM4	0.0	5.8	0.3	3.1	8.1	0.7	4.0	0.0	0.0	0.0	4.5
ACSM5	3.1	1.0	0.0	0.5	0.6	0.0	1.6	2.2	0.0	0.0	0.0
ACSS1	120.4	124.9	161.3	168.7	104.6	88.2	63.8	119.4	87.5	76.8	100.5
ACSS2	69.4	58.2	68.0	73.7	87.0	67.4	89.9	77.0	86.1	68.6	63.7
ACSS3	2.4	7.9	0.0	3.4	4.0	4.3	5.5	0.0	0.7	4.2	5.2
ACTA1	0.0	1.7	0.0	0.0	4.5	0.0	2.7	0.0	0.0	0.0	0.0
ACTA2	136.8	113.1	31.8	36.2	102.9	83.8	77.1	53.6	28.0	59.8	13.6
ACTB	5086.4	5733.7	5541.0	4991.2	6096.8	8643.4	5785.6	6683.6	4830.2	5020.6	6471.5
ACTBL2	2.4	0.6	0.7	1.6	1.7	0.0	0.0	4.8	0.0	1.9	3.4
ACTC1	0.6	0.0	0.7	0.0	0.0	0.7	1.1	0.0	0.2	0.3	0.7
ACTG1	2937.6	2626.5	2845.2	2506.6	2011.0	3671.4	2762.7	3416.3	2349.3	3635.6	3101.2
ACTG2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1
ACTL6A	80.2	71.2	108.8	112.4	88.3	161.9	126.8	154.8	103.5	193.4	186.2
ACTL6B	3.6	14.9	0.0	0.0	3.1	3.3	6.4	1.1	7.3	1.5	4.2
ACTL7A	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	1.9	0.0
ACTL7B	0.0	0.0	3.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3
ACTL8	0.7	0.0	3.0	4.0	3.1	2.4	0.3	0.0	1.3	0.0	0.0
ACTN1	289.9	226.9	236.6	242.5	340.7	309.7	411.0	715.4	625.9	335.9	312.9
ACTN2	1.7	0.0	0.0	11.6	0.2	0.3	0.0	0.0	3.5	0.4	0.0
ACTN3	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0
ACTN4	131.8	119.2	59.2	71.9	169.9	101.5	197.7	193.2	188.9	115.2	177.7
ACTR10	177.9	144.4	169.7	166.6	146.6	200.0	221.6	167.7	147.1	169.6	143.4
ACTR1A	149.0	157.8	184.7	155.7	185.8	112.9	112.3	112.2	145.5	97.7	70.9
ACTR1B	110.1	138.7	138.6	125.8	112.2	102.5	81.2	138.0	105.1	145.5	158.1
ACTR2	442.9	409.2	508.1	462.6	251.4	663.8	775.6	760.0	662.0	770.0	803.4
ACTR3	124.6	143.8	226.6	248.1	228.5	282.9	184.8	178.2	187.3	197.9	182.0
ACTR3B	1.3	3.2	1.1	1.3	2.6	2.3	0.8	2.1	3.7	1.6	0.5
ACTR5	48.6	51.2	36.6	40.1	19.3	24.2	20.6	15.4	22.8	33.1	19.0
ACTR6	77.1	77.7	129.3	128.5	96.4	106.9	116.7	72.6	76.8	102.2	93.9
ACTR8	12.5	8.6	16.3	19.1	7.4	10.9	9.4	4.2	3.3	10.7	10.6
ACTRT1	97.5	138.5	119.3	117.3	56.2	30.1	35.3	61.1	74.5	13.9	27.1
ACTRT2	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0
ACVR1	49.0	56.7	55.9	70.5	73.0	79.6	80.2	36.9	67.8	54.1	49.8
ACVR1B	8.1	6.2	10.0	13.6	12.1	8.8	18.8	8.4	10.0	13.8	9.5
ACVR1C	0.2	2.9	0.6	0.7	1.1	2.6	3.5	4.5	0.0	0.0	6.5
ACVR2A	1.2	0.6	5.1	6.2	1.1	1.1	7.8	3.6	2.3	5.2	4.0
ACVR2B	0.0	0.4	0.0	1.1	1.9	0.0	0.0	0.0	0.0	0.0	0.0
ACVRL1	0.0	0.0	2.2	2.6	4.9	3.9	8.0	0.0	6.1	10.9	3.1
ACY1	54.1	45.3	27.1	24.7	51.2	51.4	30.8	54.8	32.1	43.1	56.2
ACY3	0.0	0.0	5.0	1.2	1.7	6.4	3.9	2.2	1.5	0.9	2.6
ACYP1	27.0	29.2	48.8	56.0	76.5	60.8	65.2	53.8	66.2	55.2	57.2
ACYP2	9.9	16.2	24.6	25.3	30.9	24.7	29.4	25.6	21.4	27.1	34.0
ADA	253.9	225.4	157.7	144.8	129.8	116.3	170.2	137.9	167.8	161.8	148.6
ADAD1	0.0	0.0	1.9	0.0	0.0	3.0	0.0	0.1	0.0	0.0	7.5
ADAD2	0.0	0.0	0.8	0.2	0.0	0.9	1.6	0.0	0.0	0.5	0.0
ADAL	9.9	10.7	10.5	7.7	20.8	27.0	18.7	22.6	22.6	21.0	22.3
ADAM10	17.5	15.5	12.6	16.6	5.2	39.2	10.1	27.3	6.5	33.2	26.0
ADAM11	0.0	6.1	1.0	0.0	5.0	0.0	3.5	0.0	0.0	0.0	0.0
ADAM12	4.0	0.2	0.0	5.5	1.6	0.1	3.4	0.0	3.9	1.9	0.0
